"ZipCode","City","County","EVCount","StationCount","TotalChargers","EVsPerCharger"
"98177","Seattle","King",1694,1,1,"1694.00"
"98053","Carnation","King",2600,1,2,"1300.00"
"98146","Burien","King",1000,1,1,"1000.00"
"98178","Renton","King",994,1,1,"994.00"
"98270","Marysville","Snohomish",1758,2,2,"879.00"
"98391","Bonney Lake","Pierce",2405,2,3,"801.67"
"98023","Federal Way","King",1451,1,2,"725.50"
"98296","Snohomish","Snohomish",1847,2,3,"615.67"
"98126","Seattle","King",1194,2,2,"597.00"
"98332","Gig Harbor","Pierce",1185,1,2,"592.50"
