"County","total_evs","total_chargers","evs_per_charger","underserved_zips"
"Garfield","7","0",NULL,"1"
"Ferry","41","0",NULL,"6"
"Island","3096","26","119.08","7"
"Snohomish","35593","389","91.50","28"
"Douglas","632","8","79.00","6"
"Mason","1531","20","76.55","10"
"Klickitat","646","10","64.60","13"
"Clark","17644","287","61.48","20"
"Wahkiakum","648","11","58.91","5"
"Pend Oreille","103","2","51.50","5"
"Pierce","24732","484","51.10","55"
"Cowlitz","1069","21","50.90","8"
"Stevens","444","9","49.33","16"
"Thurston","10181","209","48.71","12"
"Jefferson","2478","53","46.75","8"
"San Juan","1276","28","45.57","8"
"Whatcom","6971","162","43.03","16"
"King","139296","3356","41.51","81"
"Franklin","1251","31","40.35","5"
"Kitsap","9720","252","38.57","13"
"Asotin","117","4","29.25","2"
"Benton","4029","143","28.17","7"
"Spokane","7977","285","27.99","37"
"Skagit","3457","129","26.80","11"
"Whitman","575","22","26.14","16"
"Grant","1134","47","24.13","11"
"Okanogan","452","20","22.60","13"
"Pacific","361","17","21.24","9"
"Yakima","2033","96","21.18","19"
"Grays Harbor","1082","52","20.81","14"
"Adams","175","9","19.44","5"
"Walla Walla","808","44","18.36","7"
"Chelan","1842","104","17.71","11"
"Skamania","177","10","17.70","3"
"Lewis","1508","86","17.53","18"
"Kittitas","1091","74","14.74","9"
"Clallam","813","73","11.14","5"
"Lincoln","74","12","6.17","7"
"Columbia","26","8","3.25","0"
