EVCount,StationCount,TotalChargers,EVsPerCharger,CoverageGapFlag,StationKey,CalendarKey,GeographyKey,VehicleKey,ZipCode,City,County,State,Latitude,Longitude
1262,7,29,43.52,1,562,1,1,1,98001,Algona,King,WA,,
508,8,15,33.87,1,12,1,2,1,98002,Auburn,King,WA,,
988,14,36,27.44,1,127,1,3,1,98003,Federal Way,King,WA,,
4125,170,381,10.83,1,5,1,4,1,98004,Beaux Arts,King,WA,,
2090,70,146,14.32,1,232,1,5,1,98005,Bellevue,King,WA,,
4455,14,50,89.1,1,33,1,6,1,98006,Bellevue,King,WA,,
1528,15,30,50.93,1,192,1,7,1,98007,Bellevue,King,WA,,
2339,6,16,146.19,1,129,1,8,1,98008,Bellevue,King,WA,,
606,0,0,0.0,1,0,1,9,1,98010,Black Diamond,King,WA,,
1934,18,52,37.19,1,8,1,10,1,98011,Bothell,King,WA,,
5481,5,17,322.41,1,741,1,11,1,98012,Bothell,Snohomish,WA,,
534,0,0,0.0,1,0,1,12,1,98014,Carnation,King,WA,,
986,0,0,0.0,1,0,1,13,1,98019,Carnation,King,WA,,
1206,9,10,120.6,1,526,1,14,1,98020,Edmonds,Snohomish,WA,,
3095,4,13,238.08,1,525,1,15,1,98021,Bothell,Snohomish,WA,,
566,4,14,40.43,1,1408,1,16,1,98022,Enumclaw,King,WA,,
1451,1,2,725.5,1,603,1,17,1,98023,Federal Way,King,WA,,
410,1,1,410.0,1,1383,1,18,1,98024,Fall City,King,WA,,
1934,9,13,148.77,1,16,1,19,1,98026,Edmonds,Snohomish,WA,,
2515,22,48,52.4,1,6,1,20,1,98027,Bellevue,King,WA,,
1598,3,11,145.27,1,1068,1,21,1,98028,Bothell,King,WA,,
2889,13,32,90.28,1,272,1,22,1,98029,Issaquah,King,WA,,
982,5,11,89.27,1,507,1,23,1,98030,Kent,King,WA,,
1673,3,4,418.25,1,723,1,24,1,98031,Kent,King,WA,,
1051,10,29,36.24,1,34,1,25,1,98032,Des Moines,King,WA,,
4683,19,32,146.34,1,682,1,26,1,98033,Bellevue,King,WA,,
3566,19,70,50.94,1,96,1,27,1,98034,Bothell,King,WA,,
13,0,0,0.0,1,0,1,28,1,98035,Kent,King,WA,,
1880,9,37,50.81,1,596,1,29,1,98036,Bothell,Snohomish,WA,,
1310,13,25,52.4,1,466,1,30,1,98037,Lynnwood,Snohomish,WA,,
2436,0,0,0.0,1,0,1,31,1,98038,Kent,King,WA,,
462,0,0,0.0,1,0,1,32,1,98039,Medina,King,WA,,
3241,8,15,216.07,1,146,1,33,1,98040,Mercer Island,King,WA,,
2,0,0,0.0,1,0,1,34,1,98041,Bothell,King,WA,,
2288,5,12,190.67,1,237,1,35,1,98042,Auburn,King,WA,,
736,4,7,105.14,1,275,1,36,1,98043,Mountlake Terrace,Snohomish,WA,,
1146,4,20,57.3,1,426,1,37,1,98045,Maple Valley,King,WA,,
129,0,0,0.0,1,0,1,38,1,98047,Pacific,King,WA,,
5,0,0,0.0,1,0,1,39,1,98050,Preston,King,WA,,
162,0,0,0.0,1,0,1,40,1,98051,Maple Valley,King,WA,,
6918,41,116,59.64,1,7,1,41,1,98052,Redmond,King,WA,,
2600,1,2,1300.0,1,1418,1,42,1,98053,Carnation,King,WA,,
1036,10,20,51.8,1,35,1,43,1,98055,Kent,King,WA,,
1969,10,50,39.38,1,37,1,44,1,98056,Newcastle,King,WA,,
1028,22,53,19.4,1,38,1,45,1,98057,Renton,King,WA,,
1989,5,9,221.0,1,21,1,46,1,98058,Kent,King,WA,,
2988,3,11,271.64,1,560,1,47,1,98059,Issaquah,King,WA,,
1,0,0,0.0,1,0,1,48,1,98064,Kent,King,WA,,
1347,5,18,74.83,1,100,1,49,1,98065,North Bend,King,WA,,
45,2,12,3.75,0,138,1,50,1,98068,Snoqualmie Pass,Kittitas,WA,,
889,2,4,222.25,1,608,1,51,1,98070,Vashon,King,WA,,
3631,16,44,82.52,1,11,1,52,1,98072,Bothell,King,WA,,
3720,4,14,265.71,1,175,1,53,1,98074,Redmond,King,WA,,
3180,5,10,318.0,1,499,1,54,1,98075,Issaquah,King,WA,,
105,0,0,0.0,1,0,1,55,1,98077,Snohomish,Snohomish,WA,,
1881,3,24,78.38,1,282,1,56,1,98087,Lynnwood,Snohomish,WA,,
1717,2,3,572.33,1,563,1,57,1,98092,Auburn,Pierce,WA,,
834,63,210,3.97,0,122,1,58,1,98101,Seattle,King,WA,,
1126,15,29,38.83,1,455,1,59,1,98102,Seattle,King,WA,,
3146,16,37,85.03,1,51,1,60,1,98103,Seattle,King,WA,,
1403,47,122,11.5,1,29,1,61,1,98104,Seattle,King,WA,,
2140,24,68,31.47,1,92,1,62,1,98105,Seattle,King,WA,,
1195,9,15,79.67,1,53,1,63,1,98106,Seattle,King,WA,,
1554,13,36,43.17,1,300,1,64,1,98107,Seattle,King,WA,,
1031,12,25,41.24,1,63,1,65,1,98108,Seattle,King,WA,,
1956,137,335,5.84,0,50,1,66,1,98109,Seattle,King,WA,,
2471,8,16,154.44,1,118,1,67,1,98110,Bainbridge Island,Kitsap,WA,,
2,0,0,0.0,1,0,1,68,1,98111,Seattle,King,WA,,
2018,3,4,504.5,1,380,1,69,1,98112,Seattle,King,WA,,
3995,7,11,363.18,1,290,1,70,1,98115,Seattle,King,WA,,
1661,3,5,332.2,1,733,1,71,1,98116,Seattle,King,WA,,
2670,6,18,148.33,1,618,1,72,1,98117,Seattle,King,WA,,
2261,9,28,80.75,1,771,1,73,1,98118,Seattle,King,WA,,
1366,51,110,12.42,1,605,1,74,1,98119,Seattle,King,WA,,
1199,126,259,4.63,0,70,1,75,1,98121,Seattle,King,WA,,
1830,15,43,42.56,1,541,1,76,1,98122,Seattle,King,WA,,
4,2,49,0.08,0,48,1,77,1,98124,Seattle,King,WA,,
2245,16,48,46.77,1,111,1,78,1,98125,Seattle,King,WA,,
1194,2,2,597.0,1,1306,1,79,1,98126,Seattle,King,WA,,
2216,16,35,63.31,1,186,1,80,1,98133,Seattle,King,WA,,
905,23,62,14.6,1,49,1,81,1,98134,Seattle,King,WA,,
1136,3,5,227.2,1,705,1,82,1,98136,Seattle,King,WA,,
1794,8,35,51.26,1,156,1,83,1,98144,Seattle,King,WA,,
1000,1,1,1000.0,1,2153,1,84,1,98146,Burien,King,WA,,
858,3,5,171.6,1,15,1,85,1,98148,Burien,King,WA,,
1945,3,5,389.0,1,656,1,86,1,98155,Lake Forest Park,King,WA,,
27,0,0,0.0,1,0,1,87,1,98158,Seatac,King,WA,,
1,0,0,0.0,1,0,1,88,1,98160,Seattle,King,WA,,
1,13,22,0.05,0,695,1,89,1,98164,Seattle,King,WA,,
948,12,13,72.92,1,132,1,90,1,98166,Burien,King,WA,,
