"EVNetwork","dc_fast_ports","level2_ports","level1_ports","total_ports","fast_charger_pct"
"Tesla","671","0","0","671","100.00"
"Electrify America","212","14","0","226","93.81"
"eVgo Network","107","12","0","119","89.92"
"ChargePoint Network","80","2055","12","2147","3.73"
"BP_PULSE","48","0","0","48","100.00"
"SHELL_RECHARGE","43","136","0","179","24.02"
"EV Connect","43","60","0","103","41.75"
"Non-Networked","31","753","153","937","3.31"
"EVCS","22","17","0","39","56.41"
"RIVIAN_ADVENTURE","18","0","0","18","100.00"
