"connector_type","station_count","percentage"
"[""""J1772""""]","2018","78.98"
"[""CHADEMO"",""J1772COMBO""]","165","6.46"
"[""""TESLA""""]","124","4.85"
"[""""J1772COMBO""""]","66","2.58"
"[""CHADEMO"",""J1772"",""J1772COMBO""]","53","2.07"
"[""J1772"",""TESLA""]","52","2.04"
"[""J1772"",""NEMA515""]","21","0.82"
"[""J1772"",""J1772COMBO""]","11","0.43"
"[""""NEMA1450""""]","10","0.39"
"[""""NEMA515""""]","9","0.35"
"[""""NEMA520""""]","8","0.31"
"[""J1772"",""NEMA520""]","6","0.23"
"[""CHADEMO"",""J1772""]","6","0.23"
"[""J1772COMBO"",""TESLA""]","3","0.12"
"[""""CHADEMO""""]","2","0.08"
"[""J1772"",""NEMA1450""]","1","0.04"
